adaptationists,adj. (在进化和遗传中或在政治方面)能动适应的，善于适应的
adaptive-optics,自适应光学；适应性光学仪器（天文学使用的镜子，其形状可以改变以补偿光线受大气之扭曲）
adaptively,adv. 适应性地
adaptiveness,"n. 适应性, 适应能力（adaptive名词形式）"
adaptivity,[计] 自适应性
adaptogen,适应原
adaptogenesis,适应性状发生
adaptogens,适应原（adaptogen的复数）
adaptometer,"[计] 自适应计, 自适应计算器\n[医] 适应计"
adaptor,"n. 改编者, 插座, 转接器, 接合器, 拾音器\n[计] 适配器, 转接器"
adaptor coupling,[电] 承接耦合
adaptor for product discharge,[化] 排料接口
adaptor plug,[电] 承接插头
adaptors,"n. <美>编剧者, 改编者( adaptor的复数形式 )"
adapts,abbr. 模拟-数字-模拟处理与测试系统（Analogue-Digital-Analogue Process and Test System）；适应性销售量表
ADAR,[计] 高级数据采集程序
Adar Sheni,犹太历法中的闰月
adarce,"泉渣, 石灰华, 钙华"
adarces,n. [地质] 石灰华，[地质] 钙华
adare,abbr. advise date of receipt 信件接收日期
adarism,"[法] 裸体主义, 裸体者"
adarsa,高级印度薄纱
ADAS,"[计] 数据自动采集程序, 数据自动分析系统"
adass,abbr. Agricultural Development and Advisory Service (英国)农业发展与咨询服务处
adat,n. <印尼>传统法律
adato, [人名] 阿达托
adatom,n. [化]吸附原子
adatoms,(adatom 的第三人称 -s形式) n.[化]吸附原子
adaxial,"a. 近轴的\n[医] 向轴的, 近轴的"
adaxially,[网络] 正面
aday,n. (Aday)人名；(土)阿达伊
ADB,亚洲开发银行
ADBMS,[计] 数据库管理系统
ADBS,[计] 先进数据库系统
ADBT,[计] 存取判定汇集时间
ADC,"[计] 先行数据代码, 模数转换, 文档自动编制程序, 自动数字计算机\n[医] 阳极期间收缩"
ADCC,[计] 异步数据通信通道
ADCCP,[计] 高级数据通信控制规程
ADCI,[机] 美国压铸学会
Adcock,n. 爱德考克（男子名）；爱德考克天线
adcolumn,n. 广告栏
adconductor cathode,[电] 加位导体阴极
adcraft,n. 广告代理商
adcs,高级国防通信系统（advanced defense communications system）\n先进的发展中国家advanceddevelopingcountries\n姿态确定和控制子系统（attitude determination and control system）\n防空指挥所（air defense command post）
adcumulate,补堆积岩
add,"vt. 增加, 添加, 附带说明, 计算...总和\nvi. 做加法, 积累而成, 增添\n[计] 加法"
Add All,全部添加
add and subtract relay,[电] 加和减的继电器
add arrow,[计] 添加箭头
add binder,[机] 粘结剂
add bond,[机] 粘结剂
add carry,[计] 加进位
add cells,[计] 添加单元
Add Cells as,添加单元格为
add character,[计] 加字符
add circuit,[计] 加法电路
add color,添加颜色\n[计] 添加颜色
add colors form selection,[计] 添加选中对象颜色
add custom autoformat,[计] 添加自定义自动套用格式
add dictionary,[计] 添加字典
add echo,添加回音\n[计] 添加回音
add file,[计] 加文件
add flip-flop,[计] 加法触发器
add fonts,添加字体\n[计] 添加字体
Add from Newest Messages,从最晚接收的消息追加
Add from Oldest Messages,从最早接收的消息追加
add fuel to the flame,火上加油
add fuel to the flames,火上浇油
add gradually,"[机] 慢慢加入, 逐步加入, 逐渐加入"
add in,把...包括在内\n[计] 添加
add indent,[计] 添加缩进
add individual files,添加单个文件\n[计] 添加单个文件
add instruction,[计] 加法指令
add insult to injury,伤害之余又侮辱
Add Layer Mask,增加图层屏蔽
add legend,[计] 添加图例
add line numbering,[计] 添加行号
add list,[计] 附加表
Add Lndent,增加缩进
add lustre to,给...增光
add mode,[计] 加方式
ADD NAME SPACE,[计] 增加名字空间
add network,[计] 加法网络
add on," （在计算或目录的末尾额外）加上, 附加"
add operation,[计] 加法运算
add output,[计] 加法输出
add overlay,[计] 添加覆盖图
add parity,[计] 加奇偶
add routing slip,[计] 添加传递名单
add slip,[计] 添加名单
add statement,[计] 加法语句
add subtotal to,[计] 添加分类汇总位置于
Add the sender of this message to the address book,将此消息的发送人加入地址工作薄
add the weight,[化] 增加重量
add their confirmation,"[经] 加保承兑, 予以确认"
add time,[计] 加法时间
add to,"[机] 加入, 加到"
add to document,[计] 添加到文件
add to multiple bonds,[机] 加到重键上去
Add to Template,添加到模板
add to workbook,[计] 添加到工作簿
add together," 加起来, 总计; 相加"
add tree,[计] 加法树
add up,合计
add up to,合计达
add watch,[计] 添加监视点
add windows components,添加窗口组件\n[计] 添加窗口组件
add wings to,加快...的速度
add with carry,[计] 进位加
Add Words To,添加词到
add-delete list,[计] 附加删除表
add-in, 附加项
add-ins,[计] 添加项
add-ins available,[计] 当前添加项
add-memory technique,[电] 加到内存技术
add-on,"[经] 比例附加, 比例运价"
add-on conference,[计] 追加电话会议
add-on loan,[经] 利上加利贷款
add-on memory,[计] 添加存储器
add-on purchase,[经] 增加购入
add-on rate,[经] 预加利率
add-on sales,"[经] 加售, 额外销售"
add-on storage,[计] 添加存储器
add-on third party,[计] 新增的第三方
add-one,补充一个\n添加一个
add-one operation,[计] 加1运算
add-ons,"(add-on 的复数) [经] 比例附加, 比例运价"
add-subtract time,[计] 加减时间
add-the-hash rehash,[计] 加散列码的再散列
add-time,[电] 加法时间
add-up,"n. （讨论会等的）总结; 要点, 要旨"
add-ups,"(add-up 的复数) n. （讨论会等的）总结; 要点, 要旨"
add-vantage, [医]灭菌溶解混合系统（雅培公司）
adda,n. 台湾协喜电机\nn. (Adda)人名；(法、加纳)阿达
addabbo, [人名] 阿达博
addable,a. 可增加的
Addams,"亚当斯(①姓氏 ②Charles Samuel, 1912-, 美国漫画家 ②Jane, 1860-1935, 美国女作家、社会活动家, 曾获1931年诺贝尔和平奖)"
ADDAR,[计] 数字数据自动采集和记录
ADDAS,[计] 数字数据自动汇编系统
addaverter,加法转换器
addax,n. 旋角羚
Addax nasomaculatus,[网络] 旋角羚；弓角羚羊；曲角羚属
ADDCON,[计] 地址常数
ADDDS,[计] 远程自动拨号系统
adde,"[医] 加, 加到, 至"
added,a. 额外的；更多的
added damages,[法] 附加损害赔偿
added entry,[计] 被加项
added entry point,[计] 补充进入点
added mass,[化] 附加质量
Added to that is,此外还有…
added value,"[经] 增值价值, 增值"
added wage,[机] 加薪
added weight method,[机] 加重计算法
added-value,增值\n附加值
added-value network,[计] 增值网络
added-value tax,[经] 增值税
addeem,"vt. [废语]；把…判给, 把…判归"
addehdum,补遣
addend,n. 加数\n[计] 加数
addend register,[计] 加数寄存器
addenda,"pl. 补遗, 附加物"
addends,n. [数] 加数；附加物
addendum,"n. 补遗, 附加物\n[化] 附加物; 齿顶"
addendum angle,[机] 齿冠角
addendum circle,[机] 齿冠圆
addendum distance,[机] 齿冠距离
addendum increment,[机] 齿冠增量
addendum line,[机] 齿冠线
addendum modification,[化] 变位量
addendums,"(addendum 的复数) n. 补遗, 附加物\n[化] 附加物; 齿顶"
addephagia,嗜食癖
adder,"n. 蝰蛇, 猪鼻蛇, 加法器\n[计] 加法器"
adder amplifier,[计] 加法放大器
adder circuit,[计] 加法电路
adder tree,[计] 加法树
adder's fern,[网络] 加法器的蕨类植物
adder's tongue,n. 山慈菇；瓶尔小草属植物\n[网络] 蝰蛇之舌；奎蛇之舌；舌草
adder's tongue fern,[网络] 舌形蕨
adder-accumulator,[计] 加法累加器
adder-subtracter,[计] 加减器
adder-subtractor,[计] 加减器
adderall,一种治疗注意力缺失/多动症的药
adderley,阿德利（地名）
adders,"n. 加法器, （欧洲产）蝰蛇（小毒蛇）, （北美产无毒的）猪鼻蛇( adder的复数形式 )"
ADDF,[计] 地址段
addh,abbr. attention deficit disorder with hyperactivity 注意力缺损病症伴活动过度
addi,n. (Addi)人名；(意、西、阿拉伯)阿迪\nabbr. 自动化数字数据交换（Automated Digital Data Interchange）；American Dream Downpayment Initiative
addible,a. 可添加的
addicks, [人名] 阿迪克斯; [地名] [美国] 阿迪克斯
addicott, [人名] 阿迪科特
addict,"vt. 使沉溺, 使上瘾\nn. 入迷的人, 上瘾者"
addict oneself to,"v. 沉溺于,使吸毒成瘾"
addict to, 耽溺于。。。，热爱。。。
addicted,"a. 沉溺于...的, 无法摆脱(某种嗜好)的\n[法] 嗜, 好, 惯于"
addicted to drugs,[法] 嗜癖吸毒
addicted to wine,[法] 耽溺喝酒
addictedness,n. addicted的变形
addicting,n. 有瘾的人；入迷的人\nvt. 使沉溺；使上瘾
addictio in diem,[法] 日后准予解除契约的附约
addiction,"n. 入迷, 瘾\n[医] 瘾, 癖嗜"
addiction to drugs,[法] 毒瘾
addictions,n. 瘾( addiction的复数形式 ); 吸毒成瘾; 沉溺; 癖好
addictive,a. 上瘾的
addictively,成瘾地
addictiveness,令人上瘾的特点
addictives,adj. (使人)入迷的，沉溺的，醉心的；(使人)上瘾的，使吸毒成瘾的
addictogogist,癖嗜学家
addictologist,癖嗜学家
addictology,"癖嗜学, 瘾学"
addicts,n. 有…瘾的人( addict的名词复数 ); 入迷的人
addie,"n. 艾迪（女子名, 等于Adelaide）"
addies,(addy 的复数) n. 阿迪（男子名）
addigital,附指羽
addiment,[医] 补体
addin,n. 外接程序（程序名）\nn. (Addin)人名；(阿拉伯)阿丁
adding,[计] 加法的
adding circuit,"[电] 加器, 加法电路"
adding device,[计] 加法器
adding element,[计] 加法元件
adding macbine,[电] 加法机
adding machine,"算术计算机\n[经] 加算机, 加数机"
adding mahcine,[机] 加算机
adding mortgage,[经] 增添抵押品
adding network,[计] 加法网络
adding operator,[计] 加法运算符
adding storage register,[计] 加法存储寄存器
adding wheel,[计] 加法轮
Addington,n. (Addington)人名；(英)阿丁顿
addio,interj. [意大利语]再见
addios,(addio 的复数) interj. [意大利语]再见
addis,n. 艾缔思（姓氏）
Addis Ababa,亚的斯亚贝巴(埃塞俄比亚首都)
Addis count,[医] 艾迪斯氏计数(尿沉淀中的细胞数)
Addis' test,"[医] 艾迪斯氏试验(计测尿比重,检肾机能)"
Addis's method,[医] 艾迪斯氏法(计数尿内细胞及管型等方法诊断肾脏疾病)
Addis-Shevky's test,"[医] 艾-谢二氏试验, 浓缩试验(检肾机能)"
addisin,胃液抗贫血素
addison,n. 艾迪生（姓氏）
Addison's anemia,"[医] 阿狄森氏贫血, 恶性贫血"
Addison's disease,"[医] 阿狄森氏病, [肾上腺性]青铜色皮病"
Addison's keloid,"[医] 阿狄森氏瘢痕瘤, 硬斑病"
Addison's pill,[医] 阿狄森氏丸(含甘汞、洋地黄、海葱)
Addison's planes,[医] 阿狄森平面(胸腹部的分界平面)
Addison's point,[医] 阿狄森氏点(腹上部中点)
Addison's syndrome,[网络] 艾迪生综合征
Addison-Biermer disease,"[医] 阿-比二氏病, 恶性贫血"
Addisonian,"阿狄森氏病的, 关于阿狄森 氏病的, 患阿狄森氏病的"
Addisonian crisis,"[医] 阿狄森氏危象, 肾上腺皮质危象"
Addisonian syndrome,"[医] 阿狄森氏综合征, 阿狄森氏病, 肾上腺性青铜色皮病"
addisonism,"类青铜色病, 阿狄森氏病型"
addisonism primary,"[医] 原发性类青铜色皮病, 原发性阿狄森氏病型"
addisonism secondary,"[医] 继发性类青铜色皮病, 继发性阿狄森氏病型"
ADDIT,"[计] 附加, 辅助"
additament,n. 增加物
addition,"n. 加法, 增加的人(或物)\n[计] 加法"
addition agent,[机] 添加剂
addition bar,[机] 补助杆
addition by subtraction,[计] 采用减法运算的加法
addition command,[计] 加法命令
addition compound,"[化] 加合化合物; 加合物; 加成化合物\n[医] 加合物, 加成化合物(两重简单化合物或二元化合物结合而成的化合物)"
addition diet,[医] 附加饮食
addition element,[机] 添加元素
addition formula,[计] 加法公式
addition item,[计] 补充项; 增添项
addition materials,[机] 加给料
addition method,[化] 叠加法
addition of actions,[法] 追加诉讼
addition of polynomial,[计] 多项式加法
addition operator,"[计] 加法算符, 加法算子"
addition polymer,[化] 加聚物; 加成聚合物\n[医] 加聚物
addition polymerization,[化] 加聚; 加成聚合
addition principle,[计] 加法原理
addition process,[机] 加成法
addition product,[化] 加成物; 加成产物\n[医] 加成产物(二物加在一起所成)
addition reaction,[化] 加成; 加成反应\n[医] 加合反应
addition record,[计] 补充记录
addition resin,[机] 加成聚合物
addition speed,[计] 加法速度
addition table,[计] 加法表
addition theorem,[计] 加法定理
addition time,[计] 加法时间
addition to property through surplus,[经] 由盈余增加的财产
addition to the tax,[经] 附加税
addition type operator,"[计] 加型算符, 加型操作符"
addition without carry,"[计] 按位加, 无进位加"
addition-compound,[医] 加成产物
addition-elimination mechanism,[化] 加成消除机理
additional,"a. 附加的, 另外的, 额外的\n[机] 加添的, 附加的"
additional accelerator,[化] 助促进剂
additional allowance,"[经] 增加津贴, 额外津贴"
additional arbitrator,[法] 补充仲裁人
additional article,[经] 增订条款
additional articles,"[法] 附加条款, 增订条款"
additional assessment,"[经] 增加估定税捐, 增补税捐"
additional ballot,[法] 再决投票
additional bar,[机] 备用钢筋
additional bit,[计] 附加位
additional budget,[经] 追加预算
additional cargo,[法] 加载货
additional channel,[计] 辅助通道
additional character,[计] 附加符号
additional charge,[机] 补充充电
additional charges,[法] 附加费用
additional claim,"[法] 补赔, 追加索赔"
additional code,"[计] 辅助码, 附加码"
additional command,"[计] 附加命令, 添加命令"
additional conditions,[经] 附加条件
additional consideration,"[法] 补偿, 额外报酬"
additional cost,[法] 额外费用
additional costs,"[经] 追加成本, 额外费用"
additional costs assigned to byproduct,[经] 副产品再加工成本
additional cover,[经] 追加担保(保险)额
additional debt restriction,[经] 追加借款限制
additional duty,"[经] 追加关税, 附加税项"
additional duty allowance,[法] 附加工作津贴
additional expenses,[经] 追加费
additional expenses-war risks,[经] 战争险附加费
additional extended coverage,[经] 保险范围延伸增保
additional facility,[经] 附加贷款
additional fuel,[机] 附加燃料
additional function,"[计] 附加功能, 辅助功能"
additional funds,"[经] 增加基金, 追加基金, 附加基金"
additional income tax,"[经] 追加所得税, 附加所得税"
additional information, 附加说明，补充消息; 可加信息
additional insurance,[经] 追加保险
additional insured,[法] 附加被保险人
additional investment,[经] 追加投资
additional item,"[计] 附加项, 补充项, 增添项\n[化] 补充项目; 附加项目"
additional labour costs,[经] 附加人工成本
additional legacy,[法] 附加遗赠
additional living expenses,[经] 附加生活费
additional margin,[经] 追加保证金
additional mark on,[经] 额外加成
additional mass,[机] 附加质量
additional memory,[计] 辅助存储器
additional neccessary condition,[计] 附加的必要条件
additional order,[经] 追(增)加定货
additional paid-in capital,"[经] 附加资本, 补缴资本, 增收资本"
additional part of a bill,[经] 期票附件
additional payment,[经] 追加付款
additional percentage tax,[经] 附加比例税
additional polymerization,[化] 加成聚合
additional predefined function,[计] 附加预定义函数
additional premium,[经] 追加保险费
additional premium-reinsurance,[经] 再保险附加保费
additional privilege,[法] 附加特权
additional product,[化] 附加产品; 附加产物; 附加产量
additional profits tax,[经] 超额利润税
additional properties,[化] 附加性能
additional protocal,[法] 附加议定书
additional protocol,[经] 附加议定书
additional provision,[法] 附加条款
additional record,[计] 追加记录
additional redundancy,[计] 附加冗余
additional requirement,[化] 附加要求; 补充技术条件
additional requirements,[化] 附加要求; 补充技术条件
additional reserve,[经] 追加准备
additional revenues,[经] 追加收入
additional right,[法] 额外权利
additional risk,[经] 附加险
additional session reference number,[计] 附加的会话参考号
additional share,"[经] 增加股份, 增资"
additional sheets,[经] 增页
additional state,[计] 附加状态
additional statement of reasoning,[法] 追加理由书
additional storage,[计] 辅助存储器
additional strength,[机] 加强
additional stresses abutment,[医] 增力桥基
additional tax,[经] 附加税
additional tax payment notice,[经] 补税通知书
additional tax rate,[经] 附(追)加税率
additional vaporization,[机] 附加蒸发
additional variable,[计] 附加变量
additional voltage,[机] 补充电势
additional vulcanization,[化] 后硫化; 二次硫化
additionality,额外性
additionally,"adv. 另外, 此外"
additions,n. 附件；增加固定资产；附加物（addition的复数）
additions and betterments,[经] 扩充及改良
additions and betterments reserve,[经] 扩充及改良准备
Additions to Esther,[网络] 艾斯德尔传补编；以斯帖记补述；以斯帖增篇
additions to plant and equipment,[经] 增置的厂房和设备
additions to property through surplus,[经] 由盈余增加的财产
additive,"a. 添加的, 附加的, 加法的, 累积的\nn. 添加物"
additive attribute,[计] 添加属性
additive blended oil,[机] 附加剂掺合油
additive color,[电] 彩色相加
additive color mixture,[电] 加色混合
additive color process,[机] 加色法
additive compound,[化] 加合化合物; 加合物; 加成化合物\n[医] 加成物(借使双键或三键饱和而成的化合物)
additive compounds,[机] 加成化合物
additive concentration,[机] 添加剂浓度
additive congruential method,[计] 加同余法
additive DE,[化] 添加剂DE
additive dimerization,[化] 加成二聚
additive effect,[医] 相加作用(药效)
additive engine oil,[机] 含添加剂的机械油
additive file attribute,[计] 加性文件属性
additive for lubricating grease,[机] 润滑脂添加剂
additive group,[计] 加法群
additive identity,"[计] 加性单位元素, 加法恒等元"
additive inverse, 加性逆元（素）
additive level,[机] 添加剂含量
additive losses,[机] 添加剂损失
additive lubricating oil,[经] 含添加剂润滑油
additive motor oil,[经] 含添加剂专用机油
additive paint,[化] 油漆助剂
additive polarity,[电] 加极性
additive primaries,[电] 相加原色
additive process,[计] 添加法
additive product,[化] 加成物; 加成产物
additive property,[化] 加和性; 加成性
additive puzzle,"[计] 可添加的谜语, 可添加难题"
additive reaction,[化] 加成反应
additive test of lubricating oil,[机] 润滑油的添加剂试验
additive-free,无添加剂的
additive-treated oil,[化] 添加剂润滑油; 含添加剂润滑油; 加添加剂的油品
additive-type oil,[机] 添加剂型的油
additively,附加地
additives,"n. 添加剂, 食物添加剂；附加剂"
additivity,[化] 相加性; 加成性; 叠加性
additivity of sum of squares,[化] 平方和加和性
additon,n. (Additon)人名；(英)阿迪顿
additory,a. 可添加的；附加的
additron,[电] 相加速器
addle,"vt. 使昏乱, 使腐坏\nvi. 变质\na. 昏乱的, 腐坏的"
addle-head,n. 糊涂虫；傻瓜
addlebrained,"a. 头脑糊涂的, 愚蠢的"
addled,a. 头脑混乱的；腐坏的
addlehead,"n. 傻瓜, 糊涂虫"
addlepated,a. 头脑糊涂
addles,v. 使糊涂( addle的第三人称单数 ); 使混乱; 使腐臭; 使变质
addling,"vt. 使腐坏；使混乱\nvi. 变质；变混乱\na. 腐坏的；糊涂的, 昏乱的"
addmeter,[计] 加算器
addn,添加
addnl," [医][=additional]加, 添加的"
addo, [地名] [南非共和国] 阿多
addometer,加算器
addon,n. 插件
addonizio, [人名] 阿多尼西奥
addorsal,向背的
addorsed,相背组雕
ADDR,"[计] 加法器, 地址, 编址"
address,"n. 住址, 演说, 举止, 灵巧, 求爱\nvt. 发表(演说或讲话), 对付, 写地址\n[计] 地址, 寻址"
address a letter to,给…寄去一封信
address a meeting,向大会致词
address a protest to,对…提出抗议
address an envelope,在信封上写上地址
address an objection to,对…提出异议
address assignment,[计] 地址分配
address bar,地址栏
address book,通讯录
address bus,[计] 地址总线
address calculation sorting,[计] 地址计算排序
address code,[计] 地址码
address commission,[经] 租船回扣
address compare control,[计] 地址比较控制
address component,[计] 地址部分
address computation,[计] 地址计算
address constant,[计] 地址常数
address conversion,[计] 地址变换
address counter,[电] 地址计数器
address depletion,[计] 地址消耗
address field,[计] 地址字段
address for service,[法] 送达地址
address format,[计] 地址格式
address generation,[电] 地址产生
address in case of need,[经] (背书人)必要时的地址
address in mitigation,[法] 请求减刑
address interleaving,[计] 地址交错
address latch enable,[计] 地址锁存选通
address list,[计] 通讯录
address mapping,[计] 地址映射; 地址映象
address message,[计] 地址信息
address modification,[计] 地址修改
address modifier,"[计] 地址修改值, 变址数"
address of the plant,[化] 厂址
address oneself to,"针对...讲话, 致力于"
address operator,[计] 地址算符
address option,"[计] 地址选择, 地址任选项"
address out bus,[计] 地址输出总线
address parameter,[计] 地址参数
address part,"[计] 地址部分, 地址码"
address pattern,[计] 地址形式
address pointer,"[计] 地址指示器, 地址指示字"
address port,[计] 地址端口
address portion,[计] 地址部分
address printer,[计] 地址打印机
address priority,[计] 地址优先级
address processing,[计] 地址加工
address read wire,[计] 地址读出线
address register,[计] 地址寄存器
address resolution,[计] 地址分辨
Address Resolution Protocol,[计] 地址分辨协议
address scrambler,[计] 地址编码器
address selection,[计] 地址选择
address selector,[计] 地址选择器
address sensor,[计] 地址读出器
address sequence,[计] 地址序列
address sequencing,[计] 地址排序
address size,[计] 地址位数
address skew,[计] 地址偏离
address sort roution,[电] 地址分类常式
address space,[计] 地址空间
address stack,[计] 地址栈
address stop,[计] 地址符合停机
address stream,[计] 地址流
address strip,[计] 地址带
address strobe,[计] 地址选通
address substitution,[计] 地址替换
address system,[计] 地址系统
address table sorting,[计] 地址表排序
address tape,[计] 地址带
address to, 致（函）; 在（信封和包裹）上写姓名地址; 写信给; 对…说
address to parliament,[法] 致议会的请愿书
address trace,[计] 地址跟踪
address track,[计] 地址磁道
address translation,[计] 地址转换
address translator,[计] 地址转换程序; 地址转换器
address type,[计] 地址类型
address vector,[计] 地址向量
address window,[计] 地址窗口
address write wire,[计] 地址写入线
address-book,通讯簿；住址名册
address-enable,[计] 地址启动
address-free program,[电] 非直接定址程序
address-modifiable,[计] 地址可变的
addressability,"[计] 可寻址能力, 寻址率, 打点能力"
addressable,a. 可寻址的
addressable by position,[计] 位置可寻址的
addressable capacity,[计] 可寻址能力
addressable cursor,[计] 可寻址光标
addressable horizontal position,[计] 可按址访问的水平位置
addressable mailbox,[计] 可寻址信箱区
addressable memory,"[计] 可按址访问的存储器, 编址存储器, 可寻址存储器"
addressable point,[计] 可访问点
addressable position,[计] 可访问位置
addressable register,[计] 编址寄存器; 可按址访问的寄存器
addressable storage,"[计] 可寻址存储器, 可访问存储器"
addressable vertical position,[计] 可按址访问的垂直位置
addressed,a. 编址的；收信地址；处理
addressed direct access,[计] 编址直接存取
addressed memory,[计] 编址存储器
addressed sequential access,[计] 编址顺序存取
addressed storage,[计] 编址存储器
Addressed To,"收信姓名,地址"
addressee,"n. 收件人, 收信人\n[经] 台头人, 收信人"
addressees,"n. 受信人, 收件人( addressee的复数形式 )"
addresser,"n. 发信人, 邮件地址印刷机, 发言人"
addresses,n. 称呼( address的名词复数 ); （在信封、包裹等上）书写（收件人姓名、地址）; （收件人的）姓名和地址; （书面或口头的）发言
addressing,[计] 访问; 寻址; 定址
addressing attribute,"[计] 编址属性, 寻址属性"
addressing capabilities,[电] 定址能力
addressing capability,[计] 寻址能力
addressing character,[计] 定址字符; 寻址字符
addressing control field,[计] 寻址控制字段
addressing inquiries,"[法] 质询, 质问"
addressing interrupt,[计] 寻址中断
addressing level,[计] 定址级
addressing machine, 姓名住址印写机
addressing matrix,[计] 编址矩阵
addressing mode,[计] 定址方式; 寻址方式
addressing operation,[计] 寻址操作
addressing range,[计] 寻址范围
addressing space,"[计] 寻址空间, 访问空间"
addressing structure,"[计] 定址结构, 寻址结构"
addressing system,[计] 编址系统
addressing technique,[计] 寻址技术
addressings,(addressing 的复数) [计] 访问; 寻址; 定址
addressless instruction format,[计] 无地址指令格式
AddressLine,地址线
addressograph,n. 印名片机
addressograph machine,[经] 姓名住址印写机
addressor,"n. 发言人, 发信人\n[法] 发件人, 发信人, 发言人"
Addrest,"(ADDR 的最高级) [计] 加法器, 地址, 编址"
adds,abbr. 高级数据显示系统（Advanced Data Display System）；美国陆军数据分发系统；应用数字数据系统（Applied Digital Data System）
adduce,"vt. 引证, 举出\n[法] 援引, 引证, 提出"
adduce a quotation of,引用…
adduce evidence,"[法] 提出证据, 引用证言"
adduceable,"a. 可以引证的, 可以举出例证(或理由,证据)的"
adduced,vt. 举出；引证
adducent,a. [生理] 内收的
adducer,n. adduce的变形
adduces,"v. 引证, 举出（例证、理由等）( adduce的第三人称单数 )"
adducible,"a. 可引证的, 可举出例证的\n[法] 可援引的, 可引证的"
adducing,vt. 举出；引证
adduct,vt. 使内收\nn. 加合物
adduct ion,[化] 加合离子
adduct polymerization,[化] 包合聚合; 包接聚合
adduct rubber,[化] 加成橡胶
adducted,n. [化学] 加合物\nvt. 使内收
adducting,n. [化学] 加合物\nvt. 使内收
adduction,"n. 引证, 内收\n[化] 氧化; 氧化作用; 内收; 内收作用"
adductive,"内收的, 能内收的"
adductor,"n. 内收肌\n[医] 收肌, 内收肌"
adductor muscle,[医] 收肌
adductor obliquus hallucis,[医] ы收肌斜头
adductor obliquus pollicis,[医] 拇收肌斜头
adductor paralysis,[医] 收肌麻痹
adductor reflex,[医] 内收肌反射
adductor transversus hallucis,[医] ы收肌横头
adductor tubercle,[医] 收肌结节(股骨)
adductors,"(adductor 的复数) n. 内收肌\n[医] 收肌, 内收肌"
adductory,[网络] 引进
adducts,n. 加合物(adduct的复数)\nv. 使（肌肉）内收(adduct的第三人称单数)
addy,n. 阿迪（男子名）
ADE,"[计] 先行数据输入, 自动调试环境, 自动设计工程"
adea,n. (Adea)人名；(西)阿德亚
